]poiughfh,Receipe,Time,Ingredients,Instructions
,,"hard-boiled eggs with spicy cold sauces,","    Hard-boiled eggs (peeled and halved)
    Spicy sauces such as chive sauce, mustard sauce, or horseradish sauce
    Chopped chives for garnish","     Place the peeled and halved hard-boiled eggs on a small platter or plate. Pour the chive sauce, mustard sauce, or horseradish sauce over the eggs. You can refer to the ""Sauces"" section for specific recipes.    Another presentation method is to pour a small amount of sauce onto a shallow dish or small plate, ensuring that it doesn't completely cover the eggs. Arrange the halved eggs, cut side up, on the sauce. Sprinkle chopped chives over each egg for added flavor and garnish.

Remember to adjust the quantities of the sauces and garnishes according to your preference and the number of servings you are preparing.
    "
,," with herring, ham, sausage, or cheese,","    Hard-boiled eggs (peeled and halved)
    Additional ingredients of your choice: herring, ham, sausage, or cheese
    1 tablespoon of thick sour cream
    Salt to taste
    Lettuce leaves for serving
    Optional: thick tartar sauce or mayonnaise (refer to the ""Sauces"" section for recipes)","      Carefully remove the yolks from the peeled and halved eggs. Finely chop the yolks or pass them through a grinder or food processor. You can use 5 grams of ham, sausage, or cheese or half of a well-soaked herring for every 2 yolks.
    Mix the finely chopped yolks with your chosen additional ingredient. Add 1 tablespoon of thick sour cream and check the seasoning, adding salt as needed.
    Fill the egg whites generously with the yolk mixture.
    Serve the stuffed eggs on lettuce leaves or pour a thick tartar sauce or mayonnaise over them.

Note: Making mayonnaise from scratch requires some practice, but it can be worth the effort to impress your guests. Please remember that our recipes and tips have been thoroughly tested. "
,,,,
,,"fried eggs,","    Eggs
    Cooking fat (butter, bacon fat, lard, or vegetable oil)
    Salt and pepper (to taste)

That's it! Fried eggs are a simple and versatile dish that requires minimal ingredients. Adjust the quantity of eggs and seasonings based on your preferences and the number of servings you want to make. Enjoy your delicious fried eggs!","Here are two methods to prepare fried eggs:

    Simple Method:
        Heat a small frying pan and add the cooking fat of your choice (enough to coat the bottom of the pan).
        Carefully crack the egg into the pan, ensuring not to break the yolk. Season with salt.
        Once the egg white starts to set, pierce the yolk gently with a fork. This will help it cook evenly.
        If the pan is not non-stick, transfer the fried egg onto a plate. Serve it with bread, dipping it into the hot fat. Enjoy!

    Enhanced Method:
        In a small frying pan or saucepan, melt a teaspoon of butter or margarine and add a tablespoon of sour cream.
        Once the sour cream starts to simmer, carefully crack two eggs into the pan, side by side. Sprinkle them lightly with salt and top with grated Tilsit cheese or any other dry cheese.
        Avoid stirring the eggs. Allow the egg whites to set slowly while you eagerly anticipate their deliciousness.
        Once the egg whites are fully cooked, remove the pan from heat and serve the eggs directly from the pan or transfer them to a plate. Eggs cooked in a pan or skillet tend to be more flavorful."
,,,,"    In a frying pan, melt a teaspoon of bacon fat or cooking fat over medium heat.
    Add 3-4 slices of bacon, bacon fat, sausage, or ham to the pan. Cook until the bacon starts to render its fat and becomes slightly translucent, and the sausage or ham begins to brown.
    Flip the bacon or sausage slices to the other side and create space for the eggs.
    Crack 2 eggs into the pan, taking care not to break the yolks. Season with salt and pepper.
    Cook until the egg whites are set, but the yolks are still runny or cooked to your desired doneness. If you prefer well-done eggs, you can cook them longer.
    Once the eggs are cooked, remove them from the pan immediately.
    Garnish with chopped chives or parsley if desired.
    Serve the fried eggs with bacon, sausage, or ham alongside toast or bread.

Feel free to adjust the quantities and cooking times based on your preferences. Enjoy your delicious fried eggs with your choice of sides!"
,,fried eggs 2,"    Eggs
    Bacon slices or bacon fat
    Sausage slices or diced sausage
    Ham slices
    Cooking fat (butter or oil) if using ham instead of bacon or sausage
    Salt and pepper (to taste)
    Chopped chives or parsley for garnish (optional)
    Toast or bread, for serving",
,,Scrambled eggs:,"    2-3 eggs
    Butter, margarine, or lard
    Salt to taste
    Optional: Water or milk (1 tablespoon)

Note: You can also add additional ingredients of your choice, such as cheese, herbs, vegetables, or cooked meats, to enhance the flavor of the scrambled eggs.","However, we believe that 2 eggs (exceptionally 3) are a completely satisfying amount to appease the appetite, especially when accompanied by a portion of potatoes (fried or boiled), a slice of bread with butter, not to mention green salad, tomatoes, or cucumber salad.

Scrambled eggs can be prepared perfectly just as easily as they can be ruined. They should be moist and, depending on our preference, almost runny or with a thick creamy consistency. Overcooked eggs are dry, ""grainy,"" and devoid of the characteristic aroma that is one of the important charms of this dish.

Always fry scrambled eggs over low heat!

2 eggs are the ""golden measure."" We crack them into a saucepan or onto a plate and beat them lightly with a fork until the resulting ""emulsion"" starts to froth slightly on the surface. The more thoroughly we beat the eggs, the more delicate and ""fluffy"" the scrambled eggs will be.

In a frying pan, melt a heaping teaspoon of butter, margarine, or lard. Butter gives the scrambled eggs a specially mild aroma. The fat should be hot (but never brown the butter). Pour the lightly salted eggs onto the pan (overly salty scrambled eggs are dreadful) and, as they begin to set, mix them with a fork to ensure even cooking. Adding a tablespoon of water (preferably mineral water) or milk to the eggs before beating them will increase the volume and make them even more delicate.    2 teaspoons of grated cheese (added just before pouring the eggs onto the pan)
    Optional: 1 tablespoon of cooked peas, finely chopped sausage or ham, or sautéed mushrooms
    Finely chopped chives or spring onions for garnishing
    Serve with fried potatoes and pickles for a complete meal
    Optional: A few leaves of green salad (except in winter months) for serving

These additional ingredients will enhance the flavor, nutritional value, and appearance of the scrambled eggs."
,,French Omelette,"        2 eggs
    1 tablespoon of water or milk
    Salt to taste
    Butter (at least half a tablespoon)
    2 eggs
    1 tablespoon of water or milk
    Salt to taste
    Butter (at least half a tablespoon)

Optional:

    Potatoes
    Lettuce (for serving)
Optional:

    Potatoes
    Lettuce (for serving)2 eggs
    1 tablespoon of water or milk
    Salt to taste
    Butter (at least half a tablespoon)

Optional:

    Potatoes
    Lettuce (for serving)","      Crack the eggs into a bowl and beat them lightly with a fork or whisk.
    Add water or milk to the beaten eggs and continue to mix until well combined. This will help make the omelette fluffy.
    Season the egg mixture with salt according to your taste preferences.
    Heat a frying pan over medium heat and add the butter. Allow it to melt and coat the pan evenly.
    Once the butter is melted and sizzling, pour the beaten egg mixture into the pan in a swift and decisive motion.
    Tilt the pan in different directions to ensure that the egg mixture spreads evenly across the surface of the pan.
    After a few seconds, when the edges of the omelette start to set, gently shake the pan to check if the omelette is sticking to the bottom.
    If the omelette is sticking, carefully loosen it with a knife, being cautious not to tear the omelette.
    Cook the omelette until the surface is slightly sticky but not runny, and the bottom is nicely browned. You can check the readiness by gently lifting the edge of the omelette.
    Once the omelette is cooked to your liking, slide it onto a plate using a spatula or by flipping it over.
    Serve the omelette immediately while it is still hot and enjoy its deliciousness.

Optional:
12. If you want to make it a complete meal, you can serve the omelette with cooked potatoes and a side of fresh lettuce for a nutritious and satisfying dish.

Note: Cooking times may vary, so it's essential to keep an eye on the omelette and adjust the heat as needed to prevent burning or overcooking. "
"the omelette differently,",,,"    2 egg yolks
    2 egg whites
    1 heaping teaspoon of flour
    1 tablespoon of milk
    A pinch of salt

These are the basic ingredients for the alternative omelette. You can also choose to add various fillings or toppings of your choice, such as:

    Spinach
    Green peas
    Salad vegetables
    Butter-fried tomatoes
    Mushrooms
    Brains (presumably referring to a type of offal)
    Smoked pickling (preserved food)
    Chopped ham or sausage
    Chives, dill, and parsley (for the herb mixture)
","    In a small saucepan, mix a heaping teaspoon of flour with a tablespoon of milk until there are no lumps (it's important to avoid any lumps).
    Add two egg yolks to the mixture and stir well with a spoon for at least one minute.
    Add a pinch of salt to the mixture.
    In a separate plate, beat two egg whites with a fork until stiff peaks form (the egg whites should be cold, and the plate should not be greasy).
    Gently fold the beaten egg whites into the mixture of yolks, flour, and milk.
    Heat a frying pan and pour the mixture onto the pan.
    Proceed with cooking the omelette as you would for a regular French omelette.
    Once cooked, you can serve the omelette as is, or if you enjoy legumes, you can spread any jam or preserves on top, fold it or roll it into a roll, sprinkle it with powdered sugar, or drizzle it with raspberry or cherry juice.
    This makes for a wonderful meal, even for special occasions!

NOTE: For a 16 cm diameter pan, use two eggs to make the omelette, and for a 20-22 cm diameter pan, use three egg"
Kogel-mogel,,,"    1 egg yolk
    2 tablespoons of sugar
    Optional variations:
        A shot of white wine
        1 teaspoon of cocoa or Nesquik
        1 tablespoon of fresh blueberries, raspberries, strawberries, or even wild strawberries
        1/2 teaspoon of vanilla sugar","    After removing the embryo, vigorously whisk the egg yolk in a cup or porcelain mug with 2 tablespoons of sugar until the mixture turns white and doubles in volume. This process takes at least 10 minutes. Listening to the radio can make the whisking more enjoyable.
    For different variations, you can add a shot of white wine, cocoa or Nesquik, fresh berries, or a hint of vanilla sugar.
    Mix the added ingredients well with the beaten egg yolk and sugar.
    Kogel-mogel can be enjoyed as a standalone dessert, but it pairs exceptionally well with sponge cake.

Kogel-mogel is highly recommended, especially for students during late-night study sessions before exams. The variation with Nesquik and fruits creates a delicious and attractive treat. Enjoy this perfect dessert, and it will surely bring you delight during your study breaks!"
Easter Eggs,,,,"Painting Easter eggs may not be considered a culinary skill, but forgetting about Easter eggs on Easter would be a huge mistake. Placing two or three eggs on a clay plate (a wide selection available in any Cepelia store) has the power to make us smile involuntarily just by looking at them. Let's cast a glance at them while eating, and even bread with sausage (if we don't have any other Easter specialty) will acquire a special ""Easter"" flavor."
for the Lovestruck,,,,"Hard-boiled eggs left in their shells can come in handy for an old Polish social game practiced by youth in the 15th century called ""wałatka.""
The rules of the game are simple: we hit our eggs against each other. The one whose egg cracks loses. The winner can, of course (and should!), demand a reward. (However, the cracked egg must be eaten beforehand)."
"Quick Soups""
(preparation time approximately 10 minutes)",,,,
,,,,
Chicken Broth:,,,"    1 and 1/4 cups of boiling water
    1 teaspoon of ""chicken broth"" extract
    Salt to taste
    Chopped fresh parsley
    Raw egg yolk (optional)

Note: The ""chicken broth"" extract refers to a powdered or liquid seasoning that provides the flavor of chicken broth. You can find it in stores labeled as ""chicken broth"" or ""chicken bouillon"" extract.","    In a cup or bowl, dissolve 1 teaspoon of ""chicken broth"" extract in 1 and 1/4 cups of boiling water. Stir well until the extract is completely dissolved.

    Taste the broth and if you find it too mild or lacking saltiness, add salt according to your preference. Stir until the salt is dissolved.

    In a serving bowl or cup, sprinkle chopped fresh parsley on top. This will add a touch of freshness and visual appeal to the broth.

    If desired, you can enhance the flavor and nutritional value of the broth by adding a raw egg yolk. Crack an egg, separate the yolk, and gently drop it into the broth in the serving bowl. Be careful not to cook the yolk.

    Optionally, you can serve the chicken broth with a portion of pan-fried potatoes (""odsmażane ziemniaki""). Enjoy the flavorful broth and the satisfying combination of flavors.

Note: This recipe provides a quick and easy way to make chicken broth using an extract, but it may not have the same depth of flavor as traditional homemade broth made from simmering chicken bones and vegetables for a longer period."
" the ""grysikowa"" soup:",,,"    Chicken broth (prepared according to the previous recipe)
    1 teaspoon ""chicken broth"" extract
    1 and 1/4 cups of boiling water
    1 tablespoon kaszki manna (semolina)
    Salt to taste
    Optional toppings: finely chopped fresh parsley or grated dry cheese

These ingredients will be used to make a delicious and hearty grysikowa soup.","    Prepare the chicken broth according to the previous recipe.
    In a separate pot, bring 1 and 1/4 cups of water to a boil.
    Dissolve 1 teaspoon of ""chicken broth"" extract in the boiling water, stirring well.
    Slowly add 1 tablespoon of kaszki manna (semolina) to the boiling water, stirring constantly to prevent lumps from forming.
    Reduce the heat to low and continue stirring the soup for at least eight minutes. The soup should be simmering gently.
    Taste the soup and add salt if needed, adjusting it to your preference.
    Once the soup is cooked and thickened to a creamy consistency, remove it from the heat.
    Serve the grysikowa soup hot, optionally garnishing it with finely chopped fresh parsley or grated dry cheese.

Enjoy your delicious grysikowa soup!"
,,,,
"""grysikowa"" soup with ham or sausage:",,,"    Chicken broth: as per the previous recipe
    Grysik (semolina): 1/2 tablespoon
    Ham or sausage: a small piece, finely chopped","    Prepare the grysikowa soup as described in the previous recipe, but with a slight modification.
    While preparing the chicken broth, add only 1/2 tablespoon of grysik (semolina) to the boiling broth.
    Allow the soup to cook until the grysik is tender and the soup has thickened to your desired consistency.
    In a separate pan, cook a small piece of finely chopped ham or sausage until it is heated through and slightly browned.
    Once the grysikowa soup is ready, add the cooked ham or sausage to the pot and stir it in.
    Bring the soup to a boil once again, allowing the flavors to blend together.
    Ladle the soup into deep bowls and serve it hot."
"grysikowa"" soup with lemon,",,,"    Grysik (semolina): as per the previous recipe
    Chicken broth: as per the previous recipe
    Raw egg yolk: 1
    Lemon juice: juice from 1/4 lemon

These ingredients will add a tangy and refreshing flavor to the grysikowa soup. Make sure to whisk the raw egg yolk thoroughly into the cooked soup before adding the lemon juice. This will create a creamy and flavorful texture. Adjust the amount of lemon juice according to your taste preferences.","    Prepare the chicken broth as per the previous recipe. Make sure it is hot and simmering.
    In a separate bowl, crack open a fresh raw egg and separate the yolk from the white. Discard the egg white or save it for another use.
    Whisk the raw egg yolk thoroughly until it becomes smooth and creamy.
    Slowly pour the hot chicken broth into the bowl with the whisked egg yolk, stirring continuously. This will temper the egg yolk and prevent it from curdling.
    Squeeze the juice from 1/4 lemon into the soup mixture. Adjust the amount of lemon juice according to your taste preferences. Stir well to combine.
    Serve the grysikowa soup with lemon in deep bowls or soup plates.

Enjoy the creamy and tangy flavor of the soup, enhanced by the addition of the raw egg yolk and fresh lemon juice. Remember to consume the soup while it's still hot for the best taste experience."
"""rosół"" soup with croutons and grated cheese:",,,"aspoon of ""rosół z kury"" (chicken broth)
    1/2 cup of boiling water
    A handful of croutons (small toasted or sautéed bread cubes)
    1 teaspoon of grated dry cheese (such as Parmesan or Cheddar","    Dissolve a teaspoon of ""rosół z kury"" (chicken broth) in 1/2 cup of boiling water. Stir well to ensure it is fully dissolved.
    Pour the broth into a soup plate or bowl.
    Add a handful of croutons to the soup. Croutons are small cubes of toasted or sautéed bread. You can use diced stale bread and toast it in a pan until it becomes crispy and golden brown.
    Sprinkle a teaspoon of grated dry cheese over the soup. You can use your preferred type of hard cheese, such as Parmesan or Cheddar. The cheese will add a rich and savory flavor to the soup.
    Serve the ""rosół"" soup with croutons and grated cheese while it's still hot.

Enjoy the delicious combination of flavorful broth, crunchy croutons, and the cheesy topping. It makes for a satisfying and comforting soup."
"(mushroom soup), ",,,"    1 heaped teaspoon of mushroom powder
    2 cups of water
    1 teaspoon of ""rosoł z kury"" (chicken broth)
    1 tablespoon of sour cream

Optional:

    Sautéed or freshly cooked potatoes
    Sautéed onions for garnish
    Cooked rice or other grains for serving","    n a pot, bring 2 cups of water to a boil.
    Add the heaped teaspoon of mushroom powder to the boiling water and cook for 8 minutes.
    Strain the liquid through a sieve to remove any solid particles.
    Pour the strained liquid back into a clean pot and bring it to a boil again.
    Add a teaspoon of ""rosoł z kury"" (chicken broth) to enhance the flavor of the soup.
    Just before serving, stir in a tablespoon of sour cream to thicken and add a creamy touch to the soup.
    You can serve the soup as is or with optional additions like sautéed or freshly cooked potatoes, sautéed onions as a garnish, or a side of cooked rice or other grains.

Enjoy the simple, flavorful, and nourishing ""zupa grzybowa"" with your preferred accompaniments!"
(tomato soup no. 1),,,"    1 tablespoon of thick tomato paste
    1/3 teaspoon of ""rosoł z kury"" (chicken broth)
    1 tablespoon of semolina (kaszka manna)
    Salt to taste

Optional:

    Water, if needed, to adjust the consistency of the tomato paste","    In a pot, bring about 1 and 3/4 cups of water to a boil.
    Dissolve 1 tablespoon of thick tomato paste and 1/3 teaspoon of ""rosoł z kury"" (chicken broth) in the boiling water.
    Bring the mixture back to a boil.
    Slowly sprinkle in 1 tablespoon of semolina (kaszka manna) while stirring continuously.
    Reduce the heat to low and simmer the soup for about 8 minutes, stirring occasionally.
    Taste the soup and add salt as needed.
    If the tomato paste is very thin in consistency, you can mix it with water in equal proportions (about 3/4 cup each) to achieve the desired thickness.

Once the soup is ready, you can serve it hot. Enjoy the flavors of this tomato soup with its rich and comforting taste!"
